image,n_true,n_pred,pixel_iou,pixel_dice,precision,recall,f1,mean_matched_iou,tp,fp,fn,infer_ms
IXMtest_A02_s1_w1051DAA7C-7042-435F-99F0-1E847D9B42CB.tif,110,108,0.9571617024231063,0.978112029515059,0.9907407407407407,0.9727272727272728,0.981651376146789,0.9364653399649362,107,1,3,1088.8087749481201
IXMtest_A06_s6_w1B9577918-4973-4A87-BA73-A168AA755527.tif,69,70,0.9522635267040668,0.9755481405850341,0.9857142857142858,1.0,0.9928057553956835,0.9451747922738691,69,1,0,743.4837818145752
IXMtest_A09_s1_w1CE70AD49-290D-4312-82E6-CDC717F32637.tif,155,154,0.9138320895160272,0.954976243236802,0.9805194805194806,0.9741935483870968,0.9773462783171522,0.9088274945204646,151,3,4,717.4060344696045
IXMtest_A12_s7_w1EAEEA614-51ED-43B3-A4FF-088730911E4C.tif,65,58,0.883181148748159,0.9379672787562173,0.7413793103448276,0.6615384615384615,0.6991869918699186,0.8146182025353107,43,15,22,718.6486721038818
IXMtest_A15_s5_w1825174D4-ED30-490C-9635-6196417D6C9D.tif,128,127,0.9433758128623003,0.9708629762895419,0.9921259842519685,0.984375,0.988235294117647,0.9381698416113158,126,1,2,720.7050323486328
IXMtest_A16_s2_w15AF20A10-82AE-48FA-AC50-7AE8AC3AA544.tif,92,88,0.9534743928829046,0.9761831497322913,1.0,0.9565217391304348,0.9777777777777777,0.9436067751890399,88,0,4,705.0628662109375
IXMtest_A16_s3_w1032BE329-E21B-4E1B-B4B8-58700685EE0C.tif,117,116,0.9532312154445753,0.9760556844547564,0.9741379310344828,0.9658119658119658,0.9699570815450644,0.9269014556861928,113,3,4,717.5521850585938
IXMtest_A18_s1_w1BFDF1C94-9C1F-4F5F-BBC1-05196333B1BF.tif,101,101,0.9542235669310655,0.9765756416801266,1.0,1.0,1.0,0.9473113448767366,101,0,0,703.7932872772217
IXMtest_A20_s4_w153DE191F-B112-471B-AC0A-FAD27990714B.tif,126,127,0.9533194535416861,0.9761019395093442,0.9921259842519685,1.0,0.9960474308300395,0.946077843077617,126,1,0,716.9301509857178
IXMtest_A21_s1_w1D8BF2790-C628-4109-94AF-DF6D8A3480B6.tif,71,74,0.9537687166906353,0.9763373817410318,0.9594594594594594,1.0,0.9793103448275862,0.9431959561886922,71,3,0,713.9739990234375
IXMtest_A22_s8_w1E2AFE190-831D-4D9C-961E-3AA2ECB3599D.tif,92,92,0.9290265518672948,0.963207635444933,0.967391304347826,0.967391304347826,0.967391304347826,0.9285240227117515,89,3,3,713.2453918457031
IXMtest_A24_s9_w152CD6793-DA45-4975-869A-CBD49D645E37.tif,52,53,0.9702630475791238,0.984907115596867,0.9811320754716981,1.0,0.9904761904761905,0.9606020851661105,52,1,0,704.0877342224121
IXMtest_B02_s9_w124B5080D-EBE1-47D2-B147-C0F342039EDF.tif,65,67,0.9461753913628764,0.9723433926479612,0.9552238805970149,0.9846153846153847,0.9696969696969696,0.9361080431500683,64,3,1,716.9153690338135
IXMtest_B04_s2_w17C6C7F8D-98F7-422B-92CD-EA61EE813325.tif,118,116,0.9321736396740982,0.9648963431995986,0.9741379310344828,0.9576271186440678,0.9658119658119658,0.9221849305619649,113,3,5,710.2153301239014
IXMtest_B04_s4_w1F6AEFA0F-AF87-4B3B-A334-698647CFE043.tif,100,97,0.9442635229752174,0.9713328587580085,0.9896907216494846,0.96,0.9746192893401014,0.9364591704107168,96,1,4,707.3650360107422
IXMtest_B05_s5_w10296BEF4-0F48-4EC8-BC24-6C604871398B.tif,111,110,0.9462458817409398,0.9723806129722025,0.9818181818181818,0.972972972972973,0.9773755656108598,0.9403673583346058,108,2,3,718.0342674255371
IXMtest_B12_s2_w19F7E0279-D087-4B5E-9899-61971C29CB78.tif,115,114,0.9457043354265501,0.9720945964991403,0.9824561403508771,0.9739130434782609,0.9781659388646288,0.9394356843968542,112,2,3,706.4681053161621
IXMtest_B12_s9_w1ABE4C6B8-6110-4D7D-B782-94C43FDC2E1F.tif,107,104,0.9563771106151838,0.9777022082562093,0.9903846153846154,0.9626168224299065,0.976303317535545,0.9373694632932346,103,1,4,710.6094360351562
IXMtest_B17_s7_w1215A0A98-4A76-4846-B54A-F7C1EAF84E02.tif,105,105,0.9419464373733502,0.9701054769022506,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9350575143416082,104,1,1,707.998514175415
